,Short Title,Intro House,Passed House,Intro Senate,Passed Senate,Assent Date,Act No.
0,Aged Care Amendment (Movement of Provisionally Allocated Places) 2019,24/7,11/9,11/9,17/9,20/9,71.0
1,Aged Care Amendment (Staffing Ratio Disclosure) 2019P,22/7,,,,,
2,Aged Care Quality and Safety Commission Amendment (Worker Screening Database) 2019P,22/7,,,,,
3,Agricultural and Veterinary Chemicals Legislation Amendment (Australian Pesticides and Veterinary Medicines Authority Board and Other Improvements) 2019,18/91,,,,,
4,Agriculture Legislation Repeal 2019Z,2/7,,,,,
5,Anti-Money Laundering and Counter-Terrorism Financing and Other Legislation Amendment 2019,17/102,,,,,
6,Appropriation (No. 1) 2019-2020B,25/7,19/9,19/9,11/11,12/11,100.0
7,Appropriation (No. 2) 2019-2020B,25/7,19/9,19/9,11/11,12/11,101.0
8,Appropriation (Parliamentary Departments) (No. 1) 2019-2020B,25/7,19/9,19/9,11/11,12/11,102.0
9,Australian Bill of Rights 2019P,16/9,,,,,
10,Australian Broadcasting Corporation Amendment (Rural and Regional Measures) 2019,31/7,,,,,
11,Australian Citizenship Amendment (Citizenship Cessation) 2019,19/93,,,,,
12,Australian Passports Amendment (Identity-matching Services) 2019,31/74,,,,,
13,Australian Research Council Amendment 2019,18/9,,,,,
14,Australian Security Intelligence Organisation Amendment (Sunsetting of Special Powers Relating to Terrorism Offences) 2019,4/7,30/7,31/7,1/8,12/8,61.0
15,Australian Sports Anti-Doping Authority Amendment (Enhancing Australia—s Anti-Doping Capability) 2019,17/10,,,,,
16,Australian Sports Anti-Doping Authority Amendment (Sport Integrity Australia) 2019,17/105,,,,,
17,Banking Amendment (Rural Finance Reform) 2019P,22/76,,,,,
18,Coal-Fired Power Funding Prohibition 2019P,22/7,,,,,
19,Coal Prohibition (Quit Coal) 2019P,14/10,,,,,
20,Combatting Child Sexual Exploitation Legislation Amendment 2019,24/77,12/9,12/9,17/9,20/9,72.0
21,Commonwealth Electoral Amendment (Lowering Voting Age and Increasing Voter Participation) 2019P,21/10,,,,,
22,Commonwealth Electoral Amendment (Real Time Disclosure of Political Donations) 2019P,16/98,,,,,
23,Communications Legislation Amendment (Deregulation and Other Measures) 2019,16/10,,,,,
24,Constitution Alteration (Freedom of Expression and Freedom of the Press) 2019 [No. 2]P,29/7,,,,,
25,Constitution Alteration (Water Resources) 2019 [No. 2]P,29/7,,,,,
26,Counter-Terrorism (Temporary Exclusion Orders) 2019,4/7,23/7,24/7,25/7,30/7,53.0
27,Counter-Terrorism (Temporary Exclusion Orders) (Consequential Amendments) 2019,4/7,23/7,24/7,25/7,30/7,54.0
28,Crimes Legislation Amendment (Age of Criminal Responsibility) 2019P,14/10,,,,,
29,Crimes Legislation Amendment (Police Powers at Airports) 2019,4/7,12/9,12/9,14/10A9,28/10,89.0
30,Crimes Legislation Amendment (Sexual Crimes Against Children and Community Protection Measures) 2019,11/910,15/10,17/10,,,
31,Criminal Code Amendment (Agricultural Protection) 2019,4/711,1/8,9/9,12/9A12,19/9,67.0
32,Currency (Restrictions on the Use of Cash) 2019,19/913,24/10,11/11,,,
33,Customs Amendment (Growing Australian Export Opportunities Across the Asia-Pacific) 2019,16/10,21/10,11/11,,,
34,Customs Amendment (Immediate Destruction of Illicit Tobacco) 2019,4/714,9/9,9/9,19/9,2/10,76.0
35,Customs Amendment (Product Specific Rule Modernisation) 2019,12/915,24/10,11/11,,,
