,Short Title,Intro Senate,Passed Senate,Intro House,Passed House,Assent Date,Act No.
0,Aged Care Legislation Amendment (New Commissioner Functions) 2019,16/10,,,,,
1,"Air Services Amendment 2018S,N",27/347,,,,,
2,ANL Legislation Repeal 2019,11/9,14/10,15/10,16/10,28/10,88.0
3,"Australian Cannabis Agency 2018S,N",27/11,,,,,
4,Australian Institute of Health and Welfare Amendment (Assisted Reproductive Treatment Statistics) 2019S,4/748,,,,,
5,"Australian Multicultural 2018S,N",23/8,,,,,
6,"Australian Research Council Amendment (Ensuring Research Independence) 2018S,N",15/11,,,,,
7,Australian Veterans— Recognition (Putting Veterans and Their Families First) 2019,4/7,29/7A,30/7,22/10,30/10,96.0
8,"Broadcasting Services Amendment (Audio Description) 2019S,N",12/2,,,,,
9,Civil Aviation Amendment 2019,4/7,22/7,24/7,24/10,6/11,99.0
10,"Coal-Fired Power Funding Prohibition 2017S,N",17/1049,,,,,
11,"Commonwealth Electoral Amendment (Lowering Voting Age and Increasing Voter Participation) 2018S,N",18/650,,,,,
12,"Competition and Consumer Amendment (Prevention of Exploitation of Indigenous Cultural Expressions) 2019S,N",12/251,,,,,
13,"Competition and Consumer Amendment (Truth in Labelling—Palm Oil) 2017S,N",21/6,,,,,
14,Constitution Alteration (Freedom of Expression and Freedom of the Press) 2019S,4/7,,,,,
15,Constitution Alteration (Water Resources) 2019S,4/752,,,,,
16,Counter-Terrorism Legislation Amendment (2019 Measures No. 1) 2019,1/853,,,,,
17,Customs Amendment (Safer Cladding) 2019S,10/9,,,,,
18,Defence Service Homes Amendment 2019,19/9,14/11,,,,
19,"Discrimination Free Schools 2018S,N",16/10,,,,,
20,"Environment and Infrastructure Legislation Amendment (Stop Adani) 2017S,N",13/654,,,,,
21,"Fair Work Amendment (Restoring Penalty Rates) 2018 [No. 2]S,N",14/11,,,,,
22,Family Law (Self-Assessment) 2019S,12/9,,,,,
23,"Freedom of Information Legislation Amendment (Improving Access and Transparency) 2018S,N",22/855,,,,,
24,Governor-General Amendment (Cessation of Allowances in the Public Interest) 2019S,13/11,,,,,
25,Great Australian Bight Environment Protection 2019S,25/7,,,,,
26,Health Insurance Amendment (Bonded Medical Programs Reform) 2019,4/7,31/7,31/7,11/9,19/9,70.0
27,Human Rights (Parliamentary Scrutiny) Amendment (Australian Freedoms) 2019S,23/7,,,,,
28,"Human Services Amendment (Photographic Identification and Fraud Prevention) 2019S,N",13/256,,,,,
29,Inspector-General of Live Animal Exports 2019,31/7,10/9A,11/9,18/9,2/10,81.0
30,Intellectual Property Laws Amendment (Productivity Commission Response Part 2 and Other Measures) 2019,25/757,16/10A,16/10,,,
31,"Intelligence Services Amendment (Enhanced Parliamentary Oversight of Intelligence Agencies) 2018S,N",14/858,,,,,
32,"Landholders— Right to Refuse (Gas and Coal) 2015S,N",31/8,,,,,
33,Live Animal Export (Slaughter) Prohibition 2019S,4/7,,,,,
34,"Ministers of State (Checks for Security Purposes) 2019S,N",12/259,,,,,
35,"Murray-Darling Basin Commission of Inquiry 2019S,N",13/260,,,,,
36,National Disability Insurance Scheme Amendment (Streamlined Governance) 2019,25/761,14/11A,,,,
37,National Disability Insurance Scheme Amendment (Worker Screening Database) 2019,4/7,22/7,23/7,19/9,2/10,82.0
38,National Integrity (Parliamentary Standards) 2019S,17/10,,,,,
39,"National Integrity Commission 2018 (No. 2)S,N",29/1162,9/9,10/9,,,
40,National Rental Affordability Scheme Amendment 2019,4/7,22/7A,24/7,17/10,30/10,97.0
41,"Nuclear Fuel Cycle (Facilitation) 2017S,N",14/11,,,,,
42,"Plebiscite (Future Migration Level) 2018S,N",15/8,2Â°negatived 29/7,2Â°negatived 29/7,,,
43,Product Stewardship Amendment (Packaging and Plastics) 2019S,11/963,,,,,
44,"Productivity Commission Amendment (Addressing Inequality) 2017S,N",14/6,,,,,
45,Protecting Australian Dairy 2019S,16/10,2Â°negatived 11/11,2Â°negatived 11/11,,,
46,"Public Governance, Performance and Accountability Amendment (Tax Transparency in Procurement and Grants) 2019S",13/1164,,,,,
47,"Regional Forest Agreements Legislation (Repeal) 2017S,N",7/9,,,,,
48,Road Vehicle Standards Legislation Amendment 2019,4/7,22/7,23/7,9/9,13/9,66.0
49,"Social Services Legislation Amendment (Ending the Poverty Trap) 2018S,N",10/9,,,,,
50,"Telecommunications Legislation Amendment (Unsolicited Communications) 2019S,N",13/2,,,,,
51,Tertiary Education Quality and Standards Agency Amendment 2019,25/7,12/9,16/9,23/10,30/10,98.0
